Risk,Return,Weights_1,Weights_2,Weights_3,Weights_4,Weights_5,Weights_6,Weights_7,Weights_8,Weights_9,Weights_10,Weights_11,Weights_12
0.0130388038232928,0.000873888683113058,0.0187030033798965,0.0773493696024575,0.0904799530521686,0.163882696830718,0.014467700729924,0.103186002343294,0.00489385792049519,0.160200965597521,0.140179820421824,0.086209556538621,0.128012690311241,0.0124343832718387
0.0111288694363722,0.000713369978690586,0.14702197740122,0.131427371698053,0.0860408792930071,0.0696121108841522,0.00165561211517731,0.14021182862098,0.0310941805984714,0.101227356554318,0.0910104196433847,0.0445108290928738,0.0120751906064263,0.144112243491935
0.0113130575106094,0.000748718041064929,0.00305095697027144,0.147359043988087,0.051686449349994,0.0200026104618294,0.0877142927559191,0.153308672214578,0.10594557792727,0.083314701717571,0.0837317128239853,0.0793606694680704,0.108821676197616,0.0757036361248077
0.0137566389529428,0.000949578282717035,0.146315540111747,0.0212744105040222,0.0298612650818477,0.120029911831387,0.0639976121848174,0.0678488528900918,0.142620574110504,0.152698940949229,0.0337691322151314,0.0234002536806294,0.0826502005133143,0.11553330592728
0.0118826790801123,0.000755627381830895,0.068805181971753,0.145333954915525,0.168243106897981,0.0298035469488831,0.0698682657554825,0.0753783717517154,0.0607378626106321,0.0999039246389429,0.0779985896202382,0.0805160294218432,0.0119209819111129,0.111490183555891
0.0121560640413021,0.00076774414394709,0.141344595863772,0.129728188323269,0.0610384840643008,0.0846418588379355,0.124666591499076,0.111316760911778,0.0594611943033344,0.0270357974215488,0.0183069837555369,0.0621284335585098,0.118897407048791,0.0614337044121476
0.0103560144588093,0.000628578473204309,0.0187647952991052,0.166851150162614,0.0340890044127086,0.0379242997625386,0.0965792814010549,0.169810060604612,0.014205696237228,0.0193673790907923,0.10992467525923,0.166518477080553,0.122839775783914,0.0431254049056492
0.0114689223064884,0.00073680454514071,0.0801932436293249,0.0845621371015667,0.0802575718157617,0.113299642373378,0.0689222100398227,0.116779481447586,0.109685458632394,0.113862891567052,0.0910221740725298,0.116133345110629,0.00985670891123047,0.0154251352987242
0.0116771969061246,0.00075315434672919,0.00262123767910396,0.0925786604500635,0.040431720187182,0.173240340648524,0.0790645314165622,0.0550891846104379,0.0179604469807316,0.131332705200997,0.17657686467065,0.123466879410691,0.0284022097293692,0.079235219015687
0.011947213898905,0.000804150447029729,0.0631986586063553,0.0919047785701671,0.0248602956209526,0.0445555644375746,0.188526577794037,0.135444806574611,0.0164792229353978,0.107070492610678,0.0777107420908444,0.0121300465257423,0.115201330735655,0.122917483497985
